Nike,Mercurial Vapor X Leather,0,['JosÃ© Mari']
Nike,Hypervenom Phantom II Leather,0,[]
Nike,Hypervenom Phinish Leather,0,[]
Adidas,ACE 15+ Primeknit,0,"['David Ospina', 'Daniel CarriÃ§o', 'Ricardo Carvalho']"
Adidas,X 15+ Primeknit,0,"['Haris SeferoviÄ\x87', 'Sandro RamÃ\xadrez', 'Pierre-Emile HÃ¸jbjerg', 'Aldo Kalulu', 'Maximiliano Moralez', 'Daniel Brosinski', 'RenÃ© Adler', 'GyÃ¶rgy Garics', 'Mike Havenaar', 'Brede Hangeland']"
Adidas,Messi 10 SLASH 10,0,[]
Nike,Mercurial Superfly CR7 324K Gold,0,[]
Puma,evoSPEED 1.4,0,"['Berk Ä°smail Ã\x9cnsal', 'Karl-Johan Johnsson']"
Joma,Champions Cup,0,['Jaume DomÃ¨nech']
Mizuno,Basara 101,0,['Shinji Okazaki']
Lotto,Zhero Gravity VII 700,0,['Coke']
Puma,evoSPEED SL Leather,0,"['Balde Diao Keita', 'Aitor Cantalapiedra']"
Adidas,Predator Mania,0,['BenoÃ®t Assou-Ekotto']
Nike,Mercurial Superfly CR7 Savage Beauty,0,[]
Nike,Tiempo Legend VI,0,"['Sergio Ramos', 'Gerard PiquÃ©', 'JÃ©rÃ´me Boateng', 'Antonio Valencia', 'RaphaÃ«l Varane', 'Eric Bailly', 'Jan Oblak', 'Thiago Silva', 'Daniel Carvajal', 'Chris Smalling', 'Andrea Pirlo', 'Francesco Totti', 'Matteo Darmian', 'Laurent Koscielny', 'Andrea Barzagli']"
Mizuno,Wave Ignitus 4,0,"['Keisuke Honda', 'Maya Yoshida']"
Adidas,ACE 16+ Purecontrol,0,"['Bernard Tekpetey', 'Koo Ja-Cheol', 'Teal Bunbury']"
Lotto,Stadio Potenza VI,0,['Michael Esser']
Lotto,Stadio Potenza II,0,['Alessandro Longhi']
Puma,evoPOWER 1.3,0,['Patrick Pemberton']
Adidas,ACE 16.1 Primeknit,0,"['Marc-AndrÃ© ter Stegen', 'Benedikt HÃ¶wedes', 'Naldo', 'DeAndre Yedlin', 'Daniel Ciofani', 'Marvin Friedrich', 'Cenk GÃ¶nen', 'GÃ¶kay GÃ¼ney', 'Dominik Kohr', 'JosÃ© GonÃ§alves', 'Andre Blake', 'JosuÃ©']"
Adidas,ACE 16.1,0,"['NicolÃ¡s Pareja', 'Ryan Mason', 'Alessandro Matri', 'Jeroen Zoet', 'Robert Bauer']"
Adidas,ACE 16.1 Leather,0,"['Roque Mesa', 'Tom Davies', 'Andreas Luthe', 'Jaroslav DrobnÃ½', 'DuÅ¡ko ToÅ¡iÄ\x87', 'Stephen Kingsley', 'Martin Hinteregger']"
Nike,Hypervenom Phinish 'Ousadia Alegria',0,[]
Nike,Hypervenom Phantom II 'Ousadia Alegria',0,[]
Puma,evoSPEED SL-S,0,[]
Under Armour,ClutchFit Force 2.0,0,"['Jonathan Tah', 'Jermaine Jones', 'Femi Hollinger-Janzen']"
Nike,Magista Obra BHM,0,[]
Nike,Mercurial Superfly CR7 Natural Diamond,0,[]
Adidas,X 15+ SL,0,"['Hakim Ziyech', 'Hal Robson-Kanu', 'Stuart Armstrong', 'Darlington Nagbe']"
Puma,evoSPEED SL II,0,"['Kalidou Koulibaly', 'Ibrahim Afellay', 'Isaac Hayden']"
Nike,Mercurial Superfly V,0,"['Paulo Dybala', 'Alexis SÃ¡nchez', 'Henrikh Mkhitaryan', 'Anthony Martial', 'Kylian MbappÃ©', 'Kingsley Coman', 'Leroy SanÃ©', 'Dimitri Payet', 'Claudio Marchisio', 'Alex Sandro', 'Emre Can', 'Alex Iwobi', 'Aleix Vidal', 'Danilo', 'Marek HamÅ¡Ã\xadk']"
