Fin Bartels,Nike,Magista Opus II>,0,
Lucas PiazÃ³n,Nike,Mercurial Superfly V>,0,
Nelson Valdez,Nike,Mercurial Vapor XI>,0,
David Kinsombi,Nike,Tiempo Legend VI>,0,
Yannick Zummack,Adidas,ACE 17.1 Leather>,0,
Joel Gerezgiher,Nike,Mercurial Vapor XI>,0,
Maximilian Philipp,Nike,Magista Obra II>,0,
Florian Klein,Nike,Tiempo Legend VI>,0,
Caniggia Elva,Nike,Hypervenom Phantom III DF>,0,
Gideon Jung,Adidas,ACE 17.1 Primeknit>,0,
Kevin Scheidhauer,Nike,Mercurial Vapor XI>,0,
Robin Zentner,Nike,Magista Opus II>,0,
Devante Parker,Adidas,X 16.1>,0,
Patrick PflÃ¼cke,Adidas,X 16.1>,0,
Damian RoÃbach,Adidas,Predator LZ>,0,
Lawrence Vigouroux,Adidas,ACE 17.1 Leather>,0,
Andre Wisdom,Adidas,ACE 17.1 Leather>,0,
Roberto Rosales,Nike,Mercurial Vapor XI>,0,
Jan Oblak,Nike,Tiempo Legend VI>,0,
Cristian Ansaldi,Adidas,ACE 17.1 Primeknit>,0,
Ãngel Correa,Adidas,X 16+ Purechaos>,0,
Fernando Reges,New Balance,Visaro>,0,
Bruno Zuculini,Nike,Magista Opus II>,0,
Karim Rekik,Nike,Magista Obra II>,0,
Siem de Jong,Adidas,ACE 17.1 Leather>,0,
Facundo Ferreyra,Nike,Tiempo Legend VI>,0,
Ayoze PÃ©rez,Adidas,X 16.1>,0,
Mehdi Abeid,Adidas,X 16.1>,0,
DuÅ¡an TadiÄ,Adidas,X 15.1 Leather>,0,
Graziano PellÃ¨,Nike,Mercurial Superfly V>,0,
Bojan KrkiÄ,Nike,Magista Obra II>,0,
Jordi GÃ³mez,Adidas,ACE 17.1 Leather>,0,
Dionatan Teixeira,Nike,Magista Obra II>,0,
Eric Dier,Nike,Magista Opus II>,0,
Brown Ideye,Adidas,X 16.1>,0,
Chris Baird,Adidas,ACE 17.1 Leather>,0,
Cheikhou KouyatÃ©,Nike,Tiempo Legend VI>,0,
Mauro ZÃ¡rate,Nike,Mercurial Vapor XI>,0,
Aaron Cresswell,Nike,Tiempo Legend VI>,0,
Diego Poyet,Puma,evoPOWER Vigor 1>,0,
Kalidou Koulibaly,Puma,evoSPEED SL II>,0,
Yann M'Vila,Adidas,X 15.1>,0,
Lorenzo Crisetig,Nike,Magista Opus II>,0,
Hachim Mastour,Nike,Hypervenom Phantom III DF>,0,
Ciprian TÄtÄruÈanu,Nike,Magista Opus II>,0,
OctÃ¡vio,Nike,Mercurial Superfly V>,0,
Joshua Brillante,Nike,Tiempo Legend VI>,0,
Salih UÃ§an,Nike,Magista Obra>,0,
Valerio Verre,Nike,CTR360 Maestri>,0,
Stefano Pettinari,Puma,King>,0,
Marco D'Alessandro,Nike,Mercurial Vapor XI>,0,
Rodrigo Moreno,Nike,Mercurial Superfly V>,0,
AndrÃ© Gomes,Nike,Magista Obra II>,0,
Rodrigo de Paul,Adidas,X 16.1>,0,
Ãver Banega,Nike,Mercurial Vapor XI>,0,
Mauro dos Santos,Nike,Mercurial Vapor IX>,0,
NicolÃ¡s Otamendi,Nike,Mercurial Superfly V>,0,
Tomer Hemed,Adidas,X 16.1>,0,
Ximo Navarro,Nike,Mercurial Superfly V>,0,
Wellington Silva,Nike,Mercurial Superfly V>,0,
Thomas Partey,Nike,Hypervenom Phantom III>,0,
Teerasil Dangda,Nike,Mercurial Superfly V>,0,
